suburb_id,suburb,Bus stop,Coffee shop,Dentist,Hair care,Motor repair,Restaurant,Orchard,Clothing store,Train station
316,Bundagen,0,0,0,0,1,0,0,0,0
317,Bundanoon,23,4,0,2,1,6,0,2,1
318,Bundarra,0,1,0,0,1,0,0,0,0
319,Bundeena,13,3,0,0,0,6,0,1,0
320,Bundook,0,0,0,0,0,0,0,0,2
321,Bungarribee,15,0,0,0,0,0,0,0,0
322,Bungendore,8,7,1,4,4,14,0,0,1
323,Bungonia,0,0,0,0,0,1,0,0,0
324,Bungwahl,2,0,0,0,0,0,0,0,0
325,Buronga,6,0,0,1,0,4,0,0,0
326,Burraboi,0,0,0,0,0,0,0,0,2
327,Burradoo,19,0,0,0,0,1,0,0,1
328,Burraneer,39,2,0,2,0,1,0,0,0
329,Burrawang,3,1,0,0,0,1,0,0,0
330,Burrell Creek,1,0,0,0,0,1,0,0,0
331,Burren Junction,1,0,0,0,0,0,0,0,0
332,Burrill Lake,6,2,0,2,0,3,0,1,0
333,Burringbar,2,1,0,0,3,2,0,0,0
334,Burrundulla,2,1,0,0,0,1,0,0,0
335,Burwood,31,41,52,42,9,58,0,60,1
336,Burwood Heights,3,0,0,1,1,0,0,0,0
337,Busby,16,0,2,0,0,0,0,0,0
338,Bushells Ridge,2,0,0,0,0,0,0,0,0
339,Buttaba,5,0,0,0,2,0,0,0,0
340,Buttai,1,0,0,0,0,1,0,0,0
341,Buxton,2,0,0,2,0,0,0,0,0
342,Byabarra,0,1,0,0,0,1,0,0,0
343,Bylong,0,1,0,0,0,0,0,0,0
344,Byron Bay,17,52,15,33,15,60,0,60,1
345,Bywong,0,1,0,0,0,0,0,0,0
346,Cabarita,11,1,0,0,0,3,0,0,0
347,Cabarita Beach,1,4,1,4,0,8,0,2,0
348,Cabramatta,42,29,30,26,22,58,0,27,1
349,Cabramatta West,27,1,1,2,1,7,0,1,0
350,Cabramurra,1,1,0,0,0,0,0,0,0
351,Caddens,12,1,0,0,0,0,0,1,0
