suburb_ssc,suburb,suburb_id,Males - Total (no.),Females - Total (no.),Persons - Total (no.),Total population aged 15 years and over (no.),Median Household Weekly Income,Weekly median advertised rent,Non-School Qualifications (no.),Postgraduate Degree (no.),Graduate Diploma/Graduate Certificate (no.),Bachelor Degree (no.),Advanced Diploma/Diploma (no.),Certificate (no.),Labour Force (no.),Employed (no.),Unemployed (no.)
SSC10863,Cawdor,414,219,216,435,361,2109,0,43,9,5,40,38,95,236,227,9
SSC10864,Cawongla,415,104,85,189,165,738,0,21,0,4,26,12,43,84,73,11
SSC10865,Cecil Hills,416,3489,3530,7019,5580,2137,550,555,155,56,790,528,954,3557,3355,202
SSC10866,Cecil Park,417,398,370,768,632,2011,0,68,14,5,53,48,162,405,388,17
SSC10873,Centennial Park,418,1149,1230,2379,2102,2010,0,250,288,49,695,196,178,1508,1448,60
SSC10876,Central Mangrove,419,134,133,267,227,1775,0,21,4,0,26,22,54,164,157,7
SSC10877,Central Tilba,420,139,148,287,258,909,0,38,10,0,36,28,50,133,133,0
SSC10878,Cessnock,421,7571,7607,15178,12309,990,330,2256,90,87,561,654,2984,5590,4995,595
SSC10880,Chain Valley Bay,422,1188,1276,2464,2118,844,0,266,10,15,100,139,574,839,783,56
SSC10881,Chakola,423,22,24,46,41,949,0,9,0,0,6,9,8,24,21,3
SSC10883,Charbon,424,65,61,126,109,716,0,10,0,0,3,3,20,40,31,9
SSC10884,Charles Sturt University,425,112,223,335,336,0,0,3,0,0,15,8,56,162,131,31
SSC10885,Charlestown,426,6322,6589,12911,10621,1424,430,828,399,196,1664,1035,2552,6605,6218,387
SSC10887,Charlotte Bay,427,86,82,168,147,1192,0,22,0,0,17,11,48,69,66,3
SSC10889,Charmhaven,428,1270,1288,2558,2033,1194,370,219,17,17,100,146,550,1125,1013,112
SSC10892,Chatswood,429,11786,13127,24913,20863,1881,900,1920,2969,439,6221,1788,1291,12463,11627,836
SSC10893,Chatswood West,430,738,760,1498,1222,2533,0,81,155,38,338,126,134,767,736,31
SSC10894,Chatsworth,431,82,77,159,140,1260,0,24,4,0,12,4,26,82,82,0
SSC10895,Cheero Point,432,46,43,89,80,1562,0,3,4,0,10,15,20,53,50,3
SSC10896,Cheltenham,433,1063,1179,2242,1840,3170,738,101,290,82,549,144,149,1193,1128,65
SSC10898,Cherrybrook,434,9210,9552,18762,15339,2443,750,978,1817,471,4146,1654,1567,9876,9350,526
SSC10899,Chester Hill,435,6280,6532,12812,9978,1125,465,1400,220,72,970,780,1478,4925,4430,495
SSC10901,Chifley,436,1564,1671,3235,2600,1816,1000,288,129,33,315,260,508,1549,1486,63
SSC10903,Chilcotts Grass,437,116,114,230,188,1666,0,17,10,0,33,24,42,120,116,4
SSC10904,Chillingham,438,117,115,232,195,850,0,32,9,0,13,21,54,83,78,5
SSC10905,Chinderah,439,818,751,1569,1424,664,0,188,11,0,50,73,340,488,437,51
SSC10907,Chippendale,440,4141,4476,8617,8369,1250,895,1269,1034,113,2521,580,384,4367,3864,503
SSC10908,Chipping Norton,441,4407,4598,9005,7235,1773,580,678,287,84,982,704,1456,4495,4267,228
SSC10909,Chisholm,442,723,740,1463,1070,2295,0,69,42,25,141,129,316,827,792,35
SSC10910,Chiswick,443,1357,1568,2925,2510,2220,0,307,262,75,685,266,298,1700,1638,62
SSC10911,Chittaway Bay,444,1011,1016,2027,1627,1443,445,150,28,18,129,143,429,1021,954,67
SSC10912,Chittaway Point,445,463,475,938,765,1603,0,49,16,9,59,62,248,504,474,30
SSC10915,Church Point,446,497,501,998,849,2590,0,87,81,28,187,99,119,496,478,18
SSC10916,Clandulla,447,102,87,189,165,900,0,27,0,0,3,8,31,57,52,5
SSC10918,Claremont Meadows,448,2361,2419,4780,3571,2075,0,264,113,35,438,309,830,2670,2531,139
SSC10919,Clarence,449,91,104,195,170,1187,0,25,4,0,9,25,43,87,83,4
SSC10920,Clarence Town,450,1005,987,1992,1620,1578,0,158,32,23,120,156,449,965,907,58
SSC10921,Clarendon,451,57,63,120,97,1625,0,15,0,0,9,8,20,61,61,0
SSC10922,Clarenza,452,289,262,551,462,1465,0,52,8,3,49,41,110,269,255,14
SSC10923,Clareville,453,354,394,748,633,2510,0,46,59,17,163,97,77,358,341,17
SSC10924,Claymore,454,1147,1498,2645,1768,698,500,541,4,3,18,76,197,551,410,141
SSC10927,Clearfield,455,3,0,3,10,0,0,0,0,0,0,0,0,3,3,0
SSC10928,Clemton Park,456,790,868,1658,1346,1508,0,153,43,16,153,113,225,691,657,34
SSC10929,Clergate,457,102,106,208,171,1600,0,19,0,0,13,8,42,114,110,4
SSC10932,Cliftleigh,458,444,444,888,568,1542,0,85,11,3,21,36,158,348,303,45
SSC10933,Clifton,459,11,15,26,24,1562,0,0,3,0,8,7,0,16,16,0
SSC10934,Clifton Grove,460,431,416,847,677,2132,0,41,34,26,119,83,155,446,425,21
SSC10935,Clontarf,461,825,914,1739,1374,3744,1448,111,156,31,472,125,108,815,776,39
SSC10936,Clothiers Creek,462,154,126,280,222,1968,0,39,6,9,23,29,49,142,131,11
SSC10938,Clovelly,463,2280,2459,4739,3787,2768,1375,300,478,119,1284,355,402,2729,2635,94
SSC10939,Clunes,464,436,426,862,689,1383,0,66,44,22,125,58,129,444,419,25
SSC10941,Clyde,465,5,0,5,6,0,0,0,0,0,0,0,0,3,3,0
SSC10943,Coal Point,466,851,871,1722,1496,1801,0,110,90,36,277,195,360,855,815,40
SSC10944,Coalcliff,467,96,93,189,160,2333,0,16,22,5,31,26,25,105,102,3
SSC10946,Coasters Retreat,468,26,19,45,44,0,0,28,0,0,7,0,0,9,9,0
SSC10951,Cobargo,469,368,407,775,645,760,0,85,21,8,52,53,150,295,271,24
SSC10953,Cobbadah,470,50,35,85,68,1187,0,4,0,0,10,7,20,51,51,0
SSC10954,Cobbitty,471,984,1079,2063,1627,2100,500,190,43,25,181,167,395,1068,1039,29
SSC10958,Coffee Camp,472,113,104,217,186,782,0,25,0,6,19,18,41,93,83,10
SSC10959,Coffs Harbour,473,12223,13529,25752,21271,1019,450,3022,394,258,2146,1887,4864,10932,10093,839
SSC10962,Coila,474,31,18,49,46,850,0,8,0,0,9,3,15,17,17,0
SSC10965,Colebee,475,992,939,1931,1449,2787,0,94,124,21,362,173,211,1097,1050,47
SSC10966,Coledale,476,630,634,1264,983,2154,0,74,104,45,216,97,169,668,637,31
SSC10970,Collaroy,477,3842,4025,7867,6578,2115,1100,716,379,142,1423,777,1204,4410,4268,142
SSC10971,Collaroy Plateau,478,2359,2412,4771,3654,2523,0,331,179,86,678,401,753,2508,2436,72
SSC10972,Collector,479,154,164,318,223,1786,0,20,13,6,29,32,65,162,156,6
SSC10979,Collombatti,480,339,313,652,547,1007,0,93,6,8,27,43,151,251,229,22
SSC10981,Colly Blue,481,21,13,34,26,749,0,10,0,0,0,0,0,8,8,0
SSC10983,Colo,482,38,28,66,42,1375,0,0,0,0,5,5,10,36,36,0
SSC10985,Colo Vale,483,804,807,1611,1281,1529,440,113,27,20,111,127,369,788,749,39
SSC10987,Colyton,484,4185,4255,8440,6698,1415,370,711,95,41,385,441,1442,3946,3641,305
SSC10991,Comberton,485,15,13,28,31,949,0,3,0,0,0,0,8,3,3,0
SSC10992,Comboyne,486,217,234,451,385,942,0,42,10,7,29,43,105,209,192,17
SSC10996,Como,487,1979,1995,3974,3012,2543,650,201,241,82,654,366,548,2106,2044,62
SSC10998,Conargo,488,69,47,116,102,1100,0,29,0,0,7,10,12,56,53,3
SSC10999,Concord,489,7034,7500,14534,11860,2078,738,1017,836,251,2435,1141,1810,7328,7002,326
SSC11000,Concord West,490,2887,3031,5918,4776,2072,705,434,414,112,1058,446,663,2947,2823,124
SSC11001,Condell Park,491,5777,5791,11568,8860,1392,600,1033,249,67,1032,730,1386,4772,4380,392
SSC11003,Condong,492,165,144,309,252,1230,0,32,3,3,18,16,71,140,132,8
SSC11006,Congarinni North,493,200,184,384,297,1075,0,39,7,4,23,20,92,156,147,9
SSC11010,Coniston,494,1126,1142,2268,1885,1135,0,229,71,24,216,169,392,1010,922,88
SSC11011,Conjola,495,73,73,146,126,1624,0,8,7,0,7,12,43,87,84,3
SSC11012,Conjola Park,496,177,166,343,276,922,0,40,10,3,34,24,82,135,124,11
SSC11013,Connells Point,497,1372,1453,2825,2309,2287,0,179,156,32,539,241,312,1433,1387,46
SSC11014,Constitution Hill,498,1896,2067,3963,3162,1443,450,329,193,49,499,308,514,1852,1714,138
SSC11015,Coogee,499,7168,8047,15215,13059,2396,990,1746,1643,430,4000,1180,1381,9502,9193,309
SSC11019,Cooks Hill,500,1735,1878,3613,3196,1497,550,316,280,104,840,287,473,2119,1990,129
SSC11022,Coolac,501,128,85,213,164,1089,0,18,8,4,26,15,38,113,109,4
SSC11023,Coolagolite,502,142,131,273,241,977,0,37,3,3,28,32,61,122,112,10
SSC11024,Coolah,503,653,637,1290,1036,975,0,178,10,6,92,72,225,549,520,29
SSC11025,Coolamon,504,1078,1121,2199,1716,1304,0,272,39,18,152,120,418,956,902,54
SSC11032,Coolongolook,505,190,199,389,330,836,0,58,4,0,9,21,87,137,128,9
SSC11036,Cooma,506,3358,3321,6679,5629,1006,320,1001,116,82,509,412,1304,3010,2866,144
SSC11037,Coomba Bay,507,63,61,124,113,780,0,19,10,0,8,16,35,40,36,4
SSC11038,Coomba Park,508,331,296,627,560,728,0,98,16,0,30,31,168,161,129,32
SSC11043,Coonabarabran,509,1554,1733,3287,2679,896,245,412,47,30,205,154,593,1201,1097,104
SSC11044,Coonamble,510,1358,1392,2750,2184,1015,200,505,21,11,124,105,369,1056,955,101
SSC11047,Coopernook,511,266,274,540,437,828,0,64,0,0,20,30,119,224,192,32
SSC11051,Coorabell,512,193,227,420,352,1256,0,44,24,9,79,42,45,212,196,16
SSC11052,Cooranbong,513,2598,2845,5443,4507,1232,420,580,213,92,587,475,1059,2306,2139,167
SSC11053,Cootamundra,514,3310,3469,6779,5627,910,280,747,62,56,394,417,1295,2659,2490,169
SSC11055,Cooyal,515,63,47,110,91,1906,0,12,3,0,3,4,23,54,51,3
SSC11056,Copacabana,516,1393,1336,2729,2167,1837,600,175,106,64,388,264,515,1461,1368,93
SSC11060,Copmanhurst,517,148,150,298,256,756,0,29,3,3,4,31,58,96,86,10
SSC11063,Coraki,518,612,667,1279,1033,895,0,156,4,8,42,72,253,453,425,28
SSC11065,Coramba,519,411,403,814,664,1255,0,71,16,5,63,69,184,418,395,23
SSC11070,Cordeaux Heights,520,2304,2261,4565,3698,2265,0,187,217,84,665,367,847,2624,2478,146
SSC11073,Corindi Beach,521,835,845,1680,1306,1252,0,127,24,18,130,121,349,743,673,70
SSC11075,Corlette,522,2538,2821,5359,4496,1281,0,491,136,64,533,544,1077,2267,2140,127
SSC11077,Corney Town,523,41,31,72,69,749,0,5,0,0,4,0,19,34,26,8
SSC11080,Corowa,524,2674,2804,5478,4590,998,280,654,47,46,303,306,1114,2349,2211,138
SSC11082,Corrimal,525,3143,3375,6518,5373,1230,490,512,150,80,636,518,1297,3035,2850,185
SSC11085,Corunna,526,34,27,61,60,1041,0,8,0,0,17,3,14,30,30,0
SSC11086,Cottage Point,527,52,52,104,91,2083,0,24,9,3,20,13,8,40,37,3
SSC11093,Couridjah,528,152,148,300,245,1928,0,21,0,3,24,27,60,157,151,6
SSC11094,Coutts Crossing,529,508,554,1062,813,996,0,86,4,3,36,56,229,425,382,43
SSC11097,Cowan,530,329,320,649,511,1991,0,45,30,10,80,44,130,351,338,13
SSC11099,Cowra,531,4886,5172,10058,8273,966,270,1122,74,92,557,515,1870,4108,3834,274
SSC11103,Crackenback,532,110,88,198,156,1791,0,20,12,3,15,19,37,115,112,3
SSC11105,Cranebrook,533,7708,8055,15763,12114,1874,430,991,297,141,1117,1064,3069,8445,8020,425
SSC11106,Crangan Bay,534,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
SSC11107,Craven,535,66,49,115,109,866,0,17,3,3,5,6,18,45,40,5
SSC11112,Cremorne,536,5106,6114,11220,9558,2348,1050,940,1345,314,3232,1050,776,6753,6499,254
SSC11113,Cremorne Point,537,1164,1247,2411,2080,2506,0,231,327,90,685,193,150,1373,1327,46
SSC11114,Crescent Head,538,784,748,1532,1276,1015,0,162,27,28,160,129,324,677,631,46
SSC11115,Crestwood,539,2361,2242,4603,3827,1395,0,438,177,76,519,359,767,2551,2416,135
SSC11116,Cringila,540,1138,1060,2198,1736,901,385,309,17,8,69,102,305,712,623,89
SSC11118,Cromer,541,3667,3923,7590,6000,1998,900,517,252,106,965,769,1287,3881,3763,118
SSC11119,Cronulla,542,8914,9162,18076,15838,1794,863,1845,804,345,2795,1955,3398,10549,10202,347
SSC11123,Crookwell,543,1304,1339,2643,2209,1001,0,298,24,32,133,170,554,1156,1106,50
SSC11128,Croudace Bay,544,278,293,571,433,1448,0,34,10,10,65,46,119,259,243,16
SSC11130,Crowdy Head,545,39,36,75,73,924,0,9,3,0,7,5,13,26,26,0
SSC11131,Crows Nest,546,2323,2475,4798,4154,2312,950,450,595,159,1392,419,313,3111,3005,106
SSC11132,Crowther,547,30,24,54,51,949,0,4,0,0,4,8,12,33,33,0
SSC11134,Croydon,548,5063,5555,10618,8858,1846,650,951,863,246,2020,739,975,5350,5024,326
SSC11135,Croydon Park,549,5217,5801,11018,9006,1597,575,835,585,156,1698,841,1364,5646,5359,287
SSC11138,Crystal Creek,550,124,134,258,199,1125,0,22,4,3,22,20,55,114,110,4
SSC11140,Cudal,551,297,262,559,435,1280,0,46,11,4,41,40,107,260,249,11
SSC11143,Cudgen,552,418,431,849,675,1435,0,51,17,12,79,65,190,431,401,30
SSC11145,Cudmirrah,553,148,127,275,241,915,0,24,3,3,19,17,91,103,92,11
SSC11146,Culburra Beach,554,1441,1435,2876,2484,941,340,326,48,45,175,188,645,1071,984,87
SSC11147,Culcairn,555,760,712,1472,1147,1053,0,148,12,6,80,97,282,613,588,25
SSC11148,Cullen Bullen,556,138,135,273,242,778,0,82,3,0,8,9,40,89,80,9
SSC11151,Cullerin,557,20,15,35,38,2062,0,0,0,0,8,3,4,25,25,0
SSC11154,Cumbalum,558,750,772,1522,1153,1800,0,73,35,33,187,124,307,820,778,42
SSC11161,Cundletown,559,974,1086,2060,1668,1073,0,252,27,21,85,137,399,852,793,59
SSC11163,Cunjurong Point,560,39,39,78,67,780,0,0,0,0,14,9,17,27,27,0
SSC11167,Curl Curl,561,1245,1170,2415,1829,2693,0,216,166,56,452,196,241,1182,1142,40
SSC11170,Curlwaa,562,209,178,387,331,1125,0,49,3,0,26,18,92,217,204,13
SSC11172,Currabubula,563,162,173,335,266,1116,0,36,3,7,17,19,63,167,160,7
SSC11174,Curramore,564,97,98,195,164,1963,0,19,3,3,46,13,24,94,91,3
SSC11175,Currans Hill,565,2593,2711,5304,3887,1860,440,236,74,48,350,413,980,2928,2782,146
SSC11176,Currarong,566,239,212,451,421,844,0,72,10,11,46,25,111,151,144,7
SSC11185,Daceyville,567,520,693,1213,1071,498,0,231,40,5,87,64,156,346,300,46
SSC11188,Dairymans Plains,568,79,75,154,132,1833,0,6,5,3,21,8,38,85,85,0
SSC11189,Daleys Point,569,315,369,684,602,934,0,70,18,6,87,61,137,235,220,15
SSC11190,Dalgety,570,118,90,208,176,966,0,12,4,7,19,15,52,108,108,0
SSC11191,Dalmeny,571,907,1025,1932,1653,901,0,273,23,31,140,133,387,593,555,38
SSC11198,Dandry,572,49,47,96,79,725,0,11,0,3,3,4,17,30,27,3
SSC11199,Dangar Island,573,138,163,301,242,1375,0,26,40,11,56,20,34,127,118,9
SSC11202,Dapto,574,5256,5478,10734,8692,1238,450,789,138,85,574,660,2424,4872,4505,367
SSC11203,Darawank,575,212,191,403,304,1169,0,37,7,0,29,24,88,151,133,18
SSC11205,Darbys Falls,576,137,110,247,228,955,0,38,0,0,11,19,56,108,96,12
SSC11206,Dareton,577,255,247,502,412,744,0,85,3,5,17,12,74,127,104,23
SSC11207,Dargan,578,50,40,90,88,771,0,18,3,0,11,7,22,33,29,4
SSC11209,Darkes Forest,579,56,59,115,96,2042,0,18,4,0,10,15,23,59,59,0
SSC11211,Darling Point,580,1897,2291,4188,3754,2966,0,651,515,101,1109,311,242,2128,2071,57
SSC11212,Darlinghurst,581,6547,4773,11320,10773,2158,850,2035,1439,292,3499,884,734,7459,7118,341
SSC11214,Darlington,582,1482,1617,3099,2932,1111,0,290,353,67,1030,149,146,1645,1483,162
SSC11219,Davidson,583,1404,1447,2851,2275,2630,0,150,151,71,500,292,370,1503,1449,54
SSC11221,Davistown,584,1205,1283,2488,2077,1176,490,194,29,27,168,232,591,1088,1026,62
SSC11222,Dawes Point,585,177,184,361,328,3806,0,37,67,7,113,24,12,216,212,4
SSC11224,Dean Park,586,1568,1656,3224,2508,1600,365,274,73,18,267,205,548,1546,1442,104
SSC11227,Dee Why,587,10552,10963,21515,18056,1716,795,1931,1078,363,3786,2183,3186,12860,12387,473
SSC11229,Deep Creek,588,49,44,93,74,1021,0,7,0,0,4,6,27,30,24,6
SSC11231,Deepwater,589,223,210,433,395,665,0,69,4,3,21,29,92,145,133,12
SSC11233,Delegate,590,187,163,350,304,854,0,38,0,0,15,23,58,169,155,14
SSC11234,Delungra,591,338,307,645,500,782,0,74,4,10,26,25,115,268,249,19
SSC11235,Denham Court,592,1071,917,1988,1702,1777,550,280,73,18,249,136,348,823,790,33
SSC11237,Deniliquin,593,3808,4059,7867,6499,1063,270,1063,85,80,478,428,1429,3488,3299,189
SSC11238,Denistone,594,1864,1887,3751,3107,2333,685,188,348,96,849,266,343,1935,1854,81
SSC11239,Denistone East,595,1105,1148,2253,1760,2129,0,130,218,41,444,175,207,1090,1051,39
SSC11240,Denistone West,596,464,465,929,715,2128,0,54,100,17,196,69,77,460,442,18
SSC11241,Denman,597,898,890,1788,1419,1176,0,167,8,8,58,99,367,813,779,34
SSC11243,Derriwong,598,22,19,41,27,1187,0,3,0,0,0,0,10,12,12,0
SSC11248,Dharruk,599,1361,1417,2778,2131,1281,0,250,26,12,135,143,390,1152,1025,127
SSC11250,Dhuragoon,600,12,15,27,20,1625,0,0,0,0,0,0,5,16,16,0
SSC11251,Diamond Beach,601,424,455,879,735,1187,0,73,15,17,77,96,218,404,369,35
SSC11256,Dilkoon,602,22,25,47,38,674,0,3,0,0,0,3,15,19,15,4
SSC11261,Dirty Creek,603,48,41,89,74,1083,0,14,0,0,3,6,18,39,30,9
SSC11266,Dolans Bay,604,296,299,595,504,2815,0,23,30,10,100,69,103,340,340,0
SSC11267,Dolls Point,605,765,894,1659,1412,1438,0,134,62,25,238,196,287,924,877,47
SSC11273,Doon Doon,606,49,43,92,88,749,0,20,3,0,12,8,14,39,35,4
SSC11274,Doonbah,607,121,121,242,225,772,0,33,0,0,16,13,45,76,70,6
SSC11275,Doonside,608,6611,6835,13446,10714,1340,380,1217,326,81,1314,834,1759,5949,5396,553
SSC11276,Dooralong,609,199,154,353,316,1724,0,31,9,4,36,34,67,162,151,11
SSC11277,Dora Creek,610,848,795,1643,1411,1154,0,160,33,16,110,110,388,722,662,60
SSC11278,Dorrigo,611,545,645,1190,1032,775,320,119,15,18,94,70,229,439,412,27
SSC11280,Dorroughby,612,65,72,137,115,1140,0,22,3,0,21,8,20,70,67,3
SSC11281,Double Bay,613,2036,2608,4644,4116,2478,1500,544,554,104,1377,349,255,2630,2540,90
SSC11283,Douglas Park,614,699,662,1361,1097,1943,0,108,28,19,119,94,298,695,668,27
SSC11284,Dover Heights,615,1817,1984,3801,2999,3031,1450,251,334,66,1026,302,217,1904,1842,62
SSC11286,Doyalson,616,165,149,314,255,1231,0,11,0,0,8,14,56,150,140,10
SSC11287,Doyalson North,617,177,206,383,375,666,0,50,0,0,9,23,94,62,59,3
SSC11293,Drummoyne,618,5613,6337,11950,10040,2353,750,1237,1055,311,2627,1021,1194,6568,6329,239
SSC11296,Dubbo,619,18751,20193,38944,30694,1341,350,3626,721,488,3443,2270,7375,19151,18099,1052
SSC11298,Duckenfield,620,56,54,110,92,1202,0,3,3,0,11,4,34,60,60,0
SSC11300,Dudley,621,1190,1223,2413,1902,1991,478,149,130,40,410,208,395,1178,1124,54
SSC11301,Duffys Forest,622,233,248,481,382,3274,0,18,21,5,100,32,58,259,249,10
SSC11303,Dulwich Hill,623,6540,7175,13715,11564,1809,700,1371,1157,428,2774,1062,1406,7868,7491,377
SSC11310,Dunbogan,624,504,493,997,925,875,0,95,12,14,65,83,255,368,331,37
SSC11312,Dundas,625,2313,2424,4737,3836,1701,0,395,293,75,747,357,541,2313,2176,137
SSC11313,Dundas Valley,626,2650,2761,5411,4364,1551,495,433,381,65,840,382,639,2667,2484,183
SSC11316,Dunedoo,627,605,613,1218,998,871,0,216,8,5,59,55,172,444,406,38
SSC11320,Dungog,628,976,1047,2023,1697,842,325,231,22,21,124,109,391,762,706,56
SSC11322,Dunkeld,629,23,18,41,42,1958,0,7,3,0,8,0,15,24,24,0
SSC11323,Dunmore,630,106,102,208,174,1775,0,9,5,0,19,18,47,109,106,3
SSC11326,Duns Creek,631,291,255,546,424,1775,0,31,10,9,56,51,106,277,264,13
SSC11328,Dural,632,3676,3894,7570,6196,2164,655,514,398,134,1270,675,1005,3865,3724,141
SSC11331,Duranbah,633,122,112,234,200,1312,0,29,3,3,24,16,47,126,120,6
SSC11332,Duri,634,270,259,529,424,1447,0,49,6,3,33,26,130,276,272,4
SSC11335,Durras North,635,14,8,22,24,1062,0,5,0,0,7,0,7,5,5,0
SSC11336,Durren Durren,636,32,46,78,60,1624,0,4,3,0,9,8,17,47,47,0
SSC11338,Dyers Crossing,637,171,170,341,287,1042,0,32,6,4,20,26,86,161,150,11
SSC11341,Eagle Vale,638,2886,2899,5785,4593,1612,400,372,80,37,391,421,1072,3008,2806,202
SSC11343,Earlwood,639,8754,8988,17742,14497,1824,670,1732,800,249,2445,1323,2160,8469,8084,385
SSC11344,East Albury,640,2879,3224,6103,5022,1327,0,490,183,149,830,496,1069,3145,2976,169
SSC11345,East Ballina,641,2734,2838,5572,4661,1266,0,385,156,145,787,491,1092,2676,2546,130
SSC11346,East Branxton,642,896,917,1813,1318,1710,0,128,18,11,78,111,439,886,830,56
SSC11348,East Corrimal,643,1703,1700,3403,2787,1276,0,226,136,60,357,263,689,1693,1573,120
SSC11349,East Gosford,644,1964,2278,4242,3544,1065,0,445,131,58,536,390,696,1871,1754,117
SSC11350,East Gresford,645,155,154,309,240,1062,0,25,5,0,12,20,62,149,142,7
SSC11351,East Hills,646,1602,1609,3211,2652,1511,0,239,96,31,355,260,554,1615,1522,93
SSC11352,East Jindabyne,647,353,342,695,543,1656,0,42,29,14,111,66,144,404,394,10
SSC11353,East Kangaloon,648,48,38,86,79,1625,0,11,5,3,13,13,12,54,54,0
SSC11354,East Kempsey,649,635,717,1352,1062,930,0,154,9,18,90,68,255,533,502,31
SSC11355,East Killara,650,1495,1481,2976,2441,2524,0,184,297,46,726,189,180,1381,1290,91
SSC11356,East Kurrajong,651,1137,1062,2199,1705,2187,0,190,47,22,156,184,484,1155,1122,33
SSC11357,East Lindfield,652,1787,1924,3711,2880,3047,0,162,400,86,924,282,196,1724,1629,95
SSC11358,East Lismore,653,2321,2670,4991,4107,1000,0,568,122,62,478,262,916,2143,1953,190
SSC11359,East Lynne,654,49,50,99,81,850,0,9,6,5,6,11,24,46,43,3
SSC11360,East Maitland,655,5716,6065,11781,9681,1178,0,1016,232,145,1055,852,2369,5483,5052,431
SSC11361,East Ryde,656,1182,1271,2453,1928,2585,0,78,207,58,492,243,257,1296,1238,58
SSC11363,East Tamworth,657,2440,2907,5347,4380,1368,0,486,180,129,771,399,892,2660,2531,129
SSC11364,East Wagga Wagga,658,118,118,236,187,1062,0,30,3,8,15,14,55,103,95,8
SSC11366,Eastern Creek,659,420,411,831,614,1613,0,46,10,0,55,39,145,387,367,20
SSC11367,Eastgardens,660,427,437,864,717,1833,0,91,48,15,110,60,110,394,381,13
SSC11368,Eastlakes,661,3452,3458,6910,5660,1051,690,674,390,73,959,482,706,3104,2836,268
SSC11369,Eastwood,662,8700,9165,17865,15151,1648,650,1181,2083,300,3900,1405,1282,8884,8176,708
SSC11370,Eatonsville,663,108,113,221,174,794,0,12,3,4,5,18,45,84,71,13
SSC11371,Ebenezer,664,507,482,989,787,1886,483,79,13,5,52,78,251,536,515,21
SSC11372,Ebor,665,87,75,162,145,791,0,27,0,0,12,5,32,83,79,4
SSC11375,Eden,666,1542,1609,3151,2648,852,400,447,33,27,167,176,577,1216,1130,86
SSC11377,Edensor Park,667,4773,4999,9772,8000,1637,480,918,145,31,912,685,1241,4535,4173,362
SSC11379,Edgecliff,668,1156,1422,2578,2299,2198,0,398,289,84,739,208,146,1408,1362,46
SSC11380,Edgeroi,669,60,46,106,88,1625,0,12,0,0,12,6,13,57,50,7
SSC11381,Edgeworth,670,2995,3211,6206,5026,1167,410,437,29,29,267,340,1421,2837,2648,189
SSC11382,Edith,671,52,41,93,79,1583,0,10,0,0,13,5,16,49,49,0
SSC11383,Edmondson Park,672,1127,1147,2274,1657,2275,570,194,122,22,308,177,215,1117,1049,68
SSC11386,Eglinton,673,1108,1147,2255,1728,1565,0,157,33,30,181,139,516,1156,1113,43
SSC11388,Elands,674,111,96,207,169,468,0,40,3,0,21,12,33,63,50,13
SSC11389,Elanora Heights,675,2150,2213,4363,3319,2461,735,241,203,89,675,444,658,2294,2222,72
SSC11391,Elderslie,676,2895,3110,6005,4545,2013,490,348,139,83,592,485,1184,3241,3107,134
SSC11393,Eleebana,677,2823,2936,5759,4654,1969,500,311,252,128,882,529,1023,2908,2757,151
SSC11394,Elermore Vale,678,2611,2913,5524,4500,1325,440,458,186,67,624,358,1051,2574,2371,203
SSC11395,Elizabeth Bay,679,2624,2586,5210,5007,1989,0,860,780,164,1634,431,323,3457,3329,128
SSC11396,Elizabeth Beach,680,109,105,214,182,1137,0,31,8,4,19,17,52,101,98,3
SSC11397,Elizabeth Hills,681,1255,1279,2534,1781,2003,0,226,76,18,307,197,319,1198,1142,56
SSC11398,Ellalong,682,535,560,1095,868,1370,0,88,8,16,46,71,249,499,469,30
SSC11405,Ellis Lane,683,440,419,859,676,2356,0,30,27,12,104,67,198,460,441,19
SSC11406,Elong Elong,684,58,60,118,93,771,0,8,0,3,15,11,26,51,48,3
SSC11407,Elrington,685,60,53,113,97,2333,0,8,0,0,11,7,34,67,67,0
SSC11408,Elsmore,686,174,180,354,282,474,0,98,3,0,17,33,49,66,63,3
SSC11411,Emerald Beach,687,1068,1168,2236,1761,1410,463,128,55,29,304,196,487,1118,1041,77
SSC11412,Emerald Hill,688,76,64,140,103,1792,0,23,0,0,7,10,26,71,71,0
SSC11413,Emerton,689,1132,1126,2258,1678,1072,315,242,15,6,65,74,299,822,704,118
SSC11414,Emmaville,690,262,257,519,446,768,0,90,5,4,17,25,85,195,168,27
SSC11415,Empire Bay,691,1185,1210,2395,1908,1449,0,187,37,30,189,190,537,1133,1070,63
SSC11417,Emu Heights,692,1636,1651,3287,2600,2080,0,143,101,48,268,250,672,1893,1820,73
SSC11418,Emu Plains,693,3969,4446,8415,6824,1685,460,769,217,107,695,623,1577,4071,3893,178
SSC11421,Enfield,694,1403,1434,2837,2391,1595,580,239,179,31,479,229,304,1499,1416,83
SSC11422,Engadine,695,8573,8803,17376,13303,1962,620,863,457,242,1792,1544,3614,8957,8690,267
SSC11423,Englorie Park,696,195,223,418,314,1552,0,38,10,3,62,28,58,211,193,18
SSC11425,Enmore,697,1942,1945,3887,3426,2022,0,451,426,130,1021,301,332,2467,2354,113
SSC11428,Epping,698,11697,11992,23689,19656,1973,650,1276,3080,510,5766,1779,1529,12202,11304,898
