suburb_ssc,suburb,suburb_id,Males - Total (no.),Females - Total (no.),Persons - Total (no.),Total population aged 15 years and over (no.),Median Household Weekly Income,Weekly median advertised rent,Non-School Qualifications (no.),Postgraduate Degree (no.),Graduate Diploma/Graduate Certificate (no.),Bachelor Degree (no.),Advanced Diploma/Diploma (no.),Certificate (no.),Labour Force (no.),Employed (no.),Unemployed (no.)
SSC11817,Gurley,873,127,106,233,187,1275,0,27,0,3,14,16,38,137,130,7
SSC11822,Guyra,874,981,1049,2030,1603,948,0,238,21,12,104,79,346,847,799,48
SSC11823,Gwabegar,875,76,80,156,130,739,0,22,0,0,7,0,19,52,41,11
SSC11824,Gwandalan,876,1666,1607,3273,2683,1258,400,219,22,28,157,197,850,1488,1387,101
SSC11825,Gwynneville,877,1661,1438,3099,2619,998,0,175,298,45,506,206,340,1365,1150,215
SSC11826,Gymea,878,3677,3907,7584,6231,1763,640,498,250,112,999,745,1436,4136,3976,160
SSC11827,Gymea Bay,879,3368,3527,6895,5367,2523,0,365,317,113,986,635,1155,3675,3565,110
SSC11828,Haberfield,880,3197,3257,6454,5249,2164,800,456,480,116,1161,463,623,3178,3050,128
SSC11830,Halekulani,881,1219,1317,2536,2130,852,410,238,12,12,112,168,584,1004,903,101
SSC11831,Halfway Creek,882,135,122,257,197,887,0,26,0,0,14,9,61,103,80,23
SSC11832,Hallidays Point,883,264,258,522,426,1210,0,38,7,8,58,47,123,237,228,9
SSC11833,Halloran,884,22,24,46,38,1562,0,8,0,0,0,4,8,16,16,0
SSC11838,Hamilton,885,2033,2199,4232,3732,1360,485,384,231,105,779,335,646,2393,2223,170
SSC11839,Hamilton East,886,502,489,991,794,1792,0,64,70,26,194,77,108,500,469,31
SSC11840,Hamilton North,887,430,445,875,715,1452,0,45,36,13,112,66,189,493,466,27
SSC11841,Hamilton South,888,1955,1920,3875,3200,1028,0,376,160,85,584,242,530,1678,1541,137
SSC11842,Hamilton Valley,889,285,284,569,442,1472,0,44,5,11,44,34,137,312,292,20
SSC11843,Hamlyn Terrace,890,2885,3188,6073,4631,1553,0,476,82,48,375,444,1146,2717,2541,176
SSC11844,Hammondville,891,1654,1837,3491,2788,1580,0,217,82,34,297,260,609,1553,1475,78
SSC11846,Hampton,892,56,50,106,98,1166,0,17,9,3,15,8,16,49,49,0
SSC11849,Hannam Vale,893,89,91,180,156,1087,0,18,6,9,16,19,37,81,77,4
