suburb_id,suburb,post,industry,count
274,Branxton,2335,Coffee shop,1
275,Breadalbane,2581,Coffee shop,0
276,Breakfast Point,2137,Coffee shop,2
277,Bredbo,2626,Coffee shop,2
278,Brewarrina,2839,Coffee shop,0
279,Brewongle,2795,Coffee shop,0
280,Bribbaree,2594,Coffee shop,0
281,Bridgman,2330,Coffee shop,0
282,Brightwaters,2264,Coffee shop,0
283,Bringelly,2556,Coffee shop,1
284,Broadmeadow,2292,Coffee shop,4
285,Broadwater,2549,Coffee shop,1
286,Brocklehurst,2830,Coffee shop,0
287,Brogans Creek,2848,Coffee shop,0
288,Brogo,2550,Coffee shop,0
289,Broke,2330,Coffee shop,3
290,Broken Head,2481,Coffee shop,0
291,Broken Hill,2880,Coffee shop,0
292,Bronte,2024,Coffee shop,12
293,Brooklyn,2083,Coffee shop,2
294,Brookvale,2100,Coffee shop,35
295,Broulee,2537,Coffee shop,2
296,Brownlow Hill,2570,Coffee shop,1
297,Brownsville,2530,Coffee shop,1
298,Brucedale,2650,Coffee shop,0
299,Brundee,2540,Coffee shop,0
300,Brunswick Heads,2483,Coffee shop,11
301,Bucca,2450,Coffee shop,0
302,Buchanan,2323,Coffee shop,0
303,Buckajo,2550,Coffee shop,0
304,Buddabadah,2825,Coffee shop,0
305,Budgee Budgee,2850,Coffee shop,0
306,Budgewoi,2262,Coffee shop,6
307,Buff Point,2262,Coffee shop,0
308,Bugaldie,2357,Coffee shop,0
309,Bulahdelah,2423,Coffee shop,5
310,Bulga,2330,Coffee shop,1
311,Bullaburra,2784,Coffee shop,0
312,Bullarah,2400,Coffee shop,1
313,Bulli,2516,Coffee shop,6
314,Bulliac,2422,Coffee shop,0
315,Bumbaldry,2794,Coffee shop,0
316,Bundagen,2454,Coffee shop,0
317,Bundanoon,2578,Coffee shop,4
318,Bundarra,2359,Coffee shop,1
319,Bundeena,2230,Coffee shop,3
320,Bundook,2422,Coffee shop,0
321,Bungarribee,2767,Coffee shop,0
322,Bungendore,2621,Coffee shop,7
323,Bungonia,2580,Coffee shop,0
324,Bungwahl,2423,Coffee shop,0
325,Buronga,2739,Coffee shop,0
326,Burraboi,2732,Coffee shop,0
327,Burradoo,2576,Coffee shop,0
328,Burraneer,2230,Coffee shop,2
329,Burrawang,2577,Coffee shop,1
330,Burrell Creek,2429,Coffee shop,0
331,Burren Junction,2386,Coffee shop,0
332,Burrill Lake,2539,Coffee shop,2
333,Burringbar,2483,Coffee shop,1
334,Burrundulla,2850,Coffee shop,1
335,Burwood,2134,Coffee shop,41
336,Burwood Heights,2136,Coffee shop,0
337,Busby,2168,Coffee shop,0
338,Bushells Ridge,2259,Coffee shop,0
339,Buttaba,2283,Coffee shop,0
340,Buttai,2323,Coffee shop,0
341,Buxton,2571,Coffee shop,0
342,Byabarra,2446,Coffee shop,1
343,Bylong,2849,Coffee shop,1
344,Byron Bay,2481,Coffee shop,52
345,Bywong,2621,Coffee shop,1
346,Cabarita,2137,Coffee shop,1
347,Cabarita Beach,2488,Coffee shop,4
348,Cabramatta,2166,Coffee shop,29
349,Cabramatta West,2166,Coffee shop,1
350,Cabramurra,2629,Coffee shop,1
351,Caddens,2747,Coffee shop,1
352,Calala,2340,Coffee shop,1
353,Calderwood,2527,Coffee shop,1
354,Caldwell,2710,Coffee shop,0
355,Calga,2250,Coffee shop,0
356,Callaghan,2308,Coffee shop,4
357,Callala Bay,2540,Coffee shop,2
358,Callala Beach,2540,Coffee shop,1
359,Cambewarra,2540,Coffee shop,0
360,Cambewarra Village,2540,Coffee shop,0
361,Cambridge Gardens,2747,Coffee shop,1
362,Cambridge Park,2747,Coffee shop,0
363,Camden,2570,Coffee shop,17
364,Camden Head,2443,Coffee shop,0
365,Camden Park,2570,Coffee shop,0
366,Camden South,2570,Coffee shop,0
367,Camellia,2142,Coffee shop,2
368,Cameron Park,2285,Coffee shop,1
369,Cammeray,2062,Coffee shop,5
370,Campbelltown,2560,Coffee shop,50
371,Camperdown,2050,Coffee shop,10
372,Campsie,2194,Coffee shop,21
373,Campvale,2318,Coffee shop,0
374,Cams Wharf,2281,Coffee shop,1
375,Canada Bay,2046,Coffee shop,0
376,Canadian Lead,2850,Coffee shop,0
377,Candelo,2550,Coffee shop,1
378,Cangai,2460,Coffee shop,0
379,Canley Heights,2166,Coffee shop,10
380,Canley Vale,2166,Coffee shop,4
381,Canobolas,2800,Coffee shop,0
382,Canoelands,2157,Coffee shop,0
383,Canowindra,2804,Coffee shop,4
384,Canterbury,2193,Coffee shop,6
385,Canton Beach,2263,Coffee shop,1
386,Capertee,2846,Coffee shop,1
387,Captains Flat,2623,Coffee shop,0
388,Caragabal,2810,Coffee shop,0
389,Carcoar,2791,Coffee shop,0
390,Cardiff,2285,Coffee shop,5
391,Cardiff Heights,2285,Coffee shop,0
392,Cardiff South,2285,Coffee shop,0
393,Carey Bay,2283,Coffee shop,1
394,Cargo,2800,Coffee shop,1
395,Caringbah,2229,Coffee shop,32
396,Caringbah South,2229,Coffee shop,2
397,Carlingford,2118,Coffee shop,13
398,Carlton,2218,Coffee shop,9
399,Carnes Hill,2171,Coffee shop,4
400,Carool,2486,Coffee shop,0
401,Caroona,2343,Coffee shop,0
402,Carramar,2163,Coffee shop,0
403,Carrington,2324,Coffee shop,3
404,Carroll,2340,Coffee shop,0
405,Carrs Creek,2460,Coffee shop,0
406,Carss Park,2221,Coffee shop,1
407,Cartwright,2168,Coffee shop,0
408,Cartwrights Hill,2650,Coffee shop,0
409,Carwoola,2620,Coffee shop,0
410,Casino,2470,Coffee shop,8
411,Cassilis,2329,Coffee shop,1
412,Castle Cove,2069,Coffee shop,1
413,Castle Doyle,2350,Coffee shop,1
414,Castle Hill,2154,Coffee shop,50
415,Castlecrag,2068,Coffee shop,2
416,Castlereagh,2749,Coffee shop,0
417,Casuarina,2487,Coffee shop,4
418,Casula,2170,Coffee shop,10
419,Catalina,2536,Coffee shop,0
420,Catherine Field,2557,Coffee shop,1
421,Catherine Hill Bay,2281,Coffee shop,1
422,Cathundral,2823,Coffee shop,0
423,Cattai,2756,Coffee shop,0
424,Caves Beach,2281,Coffee shop,2
425,Cawdor,2570,Coffee shop,0
426,Cawongla,2474,Coffee shop,1
427,Cecil Hills,2171,Coffee shop,1
428,Cecil Park,2178,Coffee shop,0
429,Centennial Park,2021,Coffee shop,4
430,Central Mangrove,2250,Coffee shop,0
431,Central Tilba,2546,Coffee shop,5
432,Cessnock,2325,Coffee shop,18
433,Chain Valley Bay,2259,Coffee shop,0
434,Chakola,2630,Coffee shop,0
435,Charbon,2848,Coffee shop,0
436,Charles Sturt University,2795,Coffee shop,1
437,Charlestown,2290,Coffee shop,22
438,Charlotte Bay,2428,Coffee shop,0
439,Charmhaven,2263,Coffee shop,2
440,Chatswood,2067,Coffee shop,57
441,Chatswood West,2067,Coffee shop,0
442,Chatsworth,2469,Coffee shop,0
443,Cheero Point,2083,Coffee shop,0
444,Cheltenham,2119,Coffee shop,1
445,Cherrybrook,2126,Coffee shop,7
446,Chester Hill,2162,Coffee shop,7
447,Chifley,2036,Coffee shop,0
448,Chilcotts Grass,2480,Coffee shop,0
449,Chillingham,2484,Coffee shop,0
450,Chinderah,2487,Coffee shop,9
451,Chippendale,2008,Coffee shop,28
452,Chipping Norton,2170,Coffee shop,9
453,Chisholm,2322,Coffee shop,1
454,Chiswick,2046,Coffee shop,2
455,Chittaway Bay,2261,Coffee shop,1
456,Chittaway Point,2261,Coffee shop,0
457,Chullora,2190,Coffee shop,6
458,Church Point,2105,Coffee shop,1
459,Clandulla,2848,Coffee shop,0
460,Claremont Meadows,2747,Coffee shop,0
461,Clarence,2790,Coffee shop,0
462,Clarence Town,2321,Coffee shop,2
463,Clarendon,2756,Coffee shop,2
464,Clarenza,2460,Coffee shop,1
465,Clareville,2107,Coffee shop,0
466,Claymore,2559,Coffee shop,0
467,Clearfield,2469,Coffee shop,0
468,Clemton Park,2206,Coffee shop,2
469,Clergate,2800,Coffee shop,0
470,Cliftleigh,2321,Coffee shop,0
471,Clifton,2515,Coffee shop,0
472,Clifton Grove,2800,Coffee shop,0
473,Clontarf,2093,Coffee shop,1
474,Clothiers Creek,2484,Coffee shop,0
475,Clovass,2480,Coffee shop,0
476,Clovelly,2031,Coffee shop,5
477,Clunes,2480,Coffee shop,0
478,Clyde,2142,Coffee shop,1
479,Coal Point,2283,Coffee shop,0
480,Coalcliff,2508,Coffee shop,0
481,Coasters Retreat,2108,Coffee shop,0
482,Cobar,2835,Coffee shop,0
483,Cobargo,2550,Coffee shop,3
484,Cobbadah,2347,Coffee shop,0
485,Cobbitty,2570,Coffee shop,1
486,Coffee Camp,2480,Coffee shop,0
487,Coffs Harbour,2450,Coffee shop,53
488,Coila,2537,Coffee shop,0
489,Colebee,2761,Coffee shop,2
490,Coledale,2515,Coffee shop,2
491,Collaroy,2097,Coffee shop,9
492,Collaroy Plateau,2097,Coffee shop,2
493,Collector,2581,Coffee shop,2
494,Collombatti,2440,Coffee shop,0
495,Colly Blue,2343,Coffee shop,0
496,Colo,2795,Coffee shop,1
497,Colo Vale,2575,Coffee shop,1
498,Colyton,2760,Coffee shop,0
499,Comberton,2540,Coffee shop,0
500,Comboyne,2429,Coffee shop,1
501,Como,2226,Coffee shop,3
502,Conargo,2710,Coffee shop,0
503,Concord,2137,Coffee shop,15
504,Concord West,2138,Coffee shop,7
505,Condell Park,2200,Coffee shop,3
506,Condobolin,2877,Coffee shop,0
507,Condong,2484,Coffee shop,0
508,Congarinni North,2447,Coffee shop,0
509,Coniston,2500,Coffee shop,2
510,Conjola,2539,Coffee shop,0
511,Conjola Park,2539,Coffee shop,0
512,Connells Point,2221,Coffee shop,0
513,Constitution Hill,2145,Coffee shop,1
514,Coogee,2034,Coffee shop,17
515,Cooks Hill,2300,Coffee shop,10
516,Coolac,2727,Coffee shop,1
517,Coolagolite,2550,Coffee shop,0
518,Coolah,2843,Coffee shop,2
519,Coolamon,2701,Coffee shop,3
520,Coolongolook,2423,Coffee shop,3
521,Cooma,2630,Coffee shop,15
