suburb,id
Londonderry,1198
Long Flat,1199
Long Jetty,1200
Long Point,1201
Longueville,1202
Lord Howe Island,1203
Lorn,1204
Louth Park,1205
Lovedale,1206
Lower Mangrove,1207
Lower Portland,1208
Lucas Heights,1209
Luddenham,1210
Lue,1211
Lugarno,1212
Lurnea,1213
Macksville,1214
Maclean,1215
Macmasters Beach,1216
Macquarie Fields,1217
Macquarie Hills,1218
Macquarie Links,1219
Macquarie Marshes,1220
Macquarie Park,1221
Maddens Plains,1222
Magenta,1223
Maianbar,1224
Maimuru,1225
Main Arm,1226
Maison Dieu,1227
Maitland,1228
Maitland Vale,1229
Malabar,1230
Mallabula,1231
Mallanganee,1232
Maloneys Beach,1233
Malua Bay,1234
Mandurama,1235
Mangerton,1236
Mangoola,1237
Mangrove Mountain,1238
Manildra,1239
Manilla,1240
Manly,1241
Manly Vale,1242
Mannering Park,1243
Manning Point,1244
Manyana,1245
Maraylya,1246
Marayong,1247
Marchmont,1248
Mardi,1249
Marks Point,1250
Marmong Point,1251
Maroota,1252
Maroubra,1253
Marrangaroo,1254
Marrar,1255
Marrickville,1256
Marsden Park,1257
Marsfield,1258
Martins Creek,1259
Martinsville,1260
Marulan,1261
Maryland,1262
Maryvale,1263
Maryville,1264
Mascot,1265
Matcham,1266
Mathoura,1267
Matong,1268
Matraville,1269
Mayfield,1270
Mayfield East,1271
Mayfield North,1272
Mayfield West,1273
Mays Hill,1274
Mcgraths Hill,1275
Meadow Flat,1276
Meadowbank,1277
Medlow Bath,1278
Medowie,1279
Medway,1280
Megalong Valley,1281
Melinga,1282
Melrose Park,1283
Menai,1284
Menangle,1285
Menangle Park,1286
Mendooran,1287
Merewether,1288
Merewether Heights,1289
Merimbula,1290
Merriwa,1291
Merriwagga,1292
Merrygoen,1293
Merrylands,1294
Merrylands West,1295
Merungle Hill,1296
Metford,1297
Michelago,1298
Middle Cove,1299
Middle Dural,1300
Middleton Grange,1301
Milbrodale,1302
Miller,1303
Millers Forest,1304
Millers Point,1305
Millfield,1306
Millingandi,1307
Millthorpe,1308
Milperra,1309
Milsons Point,1310
Milton,1311
Minchinbury,1312
Mindaribba,1313
Minmi,1314
Minnamurra,1315
Minnie Water,1316
Minore,1317
Minto,1318
Minto Heights,1319
Miranda,1320
Mirannie,1321
Mirrabooka,1322
Mittagong,1323
Moama,1324
Modanville,1325
Mogareeka,1326
Mogo,1327
Mollymook,1328
Mollymook Beach,1329
Molong,1330
Mona Vale,1331
Mondayong,1332
Monivae,1333
Monkerai,1334
Monteagle,1335
Montecollum,1336
Montefiores,1337
Monterey,1338
Mooball,1339
Moonan Flat,1340
Moonbi,1341
Moonee Beach,1342
Mooney Mooney,1343
Moore Creek,1344
Moore Park,1345
Moorebank,1346
Moorland,1347
Moorong,1348
Moree,1349
Morisset,1350
Morisset Park,1351
Morning Bay,1352
Mororo,1353
Morpeth,1354
Mortdale,1355
Mortlake,1356
Morts Estate,1357
Moruya,1358
Mosman,1359
Moss Vale,1360
Mossy Point,1361
Mount Annan,1362
Mount Burrell,1363
Mount Colah,1364
Mount Druitt,1365
Mount Fairy,1366
Mount Frome,1367
Mount George,1368
Mount Hunter,1369
Mount Hutton,1370
Mount Keira,1371
Mount Kembla,1372
Mount Knowles,1373
Mount Lambie,1374
Mount Lewis,1375
Mount Ousley,1376
Mount Panorama,1377
Mount Pleasant,1378
Mount Pritchard,1379
Mount Rankin,1380
Mount Riverview,1381
Mount Thorley,1382
Mount Tomah,1383
Mount Vernon,1384
