Label,Males - Total (no.),Females - Total (no.),Persons - Total (no.),Median Household Weekly Income,Non-School Qualifications (%),Postgraduate Degree (%),Graduate Diploma/Graduate Certificate (%),Bachelor Degree (%),Advanced Diploma/Diploma (%),Certificate (%),Non-School Qualifications - Inadequately described (%),Employed (no.),Unemployed (no.),Labour Force (no.),Unemployment rate (%),Participation rate (%),Not in the Labour Force (%),Labour Force Status not stated (%),Total population aged 15 years and over (no.),Weekly median advertised rent
Colyton,6150,6138,12288,788,47.1,1.8,0.8,6.4,6.6,21.4,10.2,4972,431,5403,8.0,58.9,34.5,6.6,9168,370
Como,10895,11218,22113,1215,67.2,6.3,2.6,19.4,12.4,19.8,6.6,10709,392,11101,3.5,67.0,29.7,3.3,16559,650
Concord,11435,12271,23706,1239,65.1,8.3,2.3,22.1,10.3,14.5,7.7,10817,477,11294,4.2,62.7,32.8,4.6,18005,738
Concord West,13494,13674,27168,1101,70.8,15.6,1.9,28.3,8.7,8.0,8.3,12491,960,13451,7.1,63.5,30.7,5.8,21181,705
Condell Park,6313,6241,12554,700,48.0,2.8,0.8,11.7,8.2,15.6,8.8,4296,386,4682,8.2,54.1,40.4,5.6,8649,600
Condobolin,3329,3296,6625,662,49.2,0.7,1.1,6.5,5.6,18.4,17.0,2671,184,2855,6.4,54.8,33.9,11.3,5209,245
Constitution Hill,11470,11656,23126,908,60.7,7.7,1.7,18.0,9.1,16.1,8.1,10000,686,10686,6.4,60.2,35.3,4.5,17762,450
Coogee,13478,14695,28173,1562,76.0,12.0,3.1,29.4,9.1,10.8,11.7,14144,547,14691,3.7,69.1,21.9,8.9,21249,990
Cooks Hill,6140,5935,12075,1197,73.1,10.1,2.9,26.6,8.5,14.0,11.1,5975,363,6338,5.7,65.2,26.1,8.7,9726,550
Cooma,3474,3398,6872,691,60.3,2.1,1.4,9.0,7.4,23.2,17.2,2901,143,3044,4.7,53.6,37.5,8.8,5678,320
Coonabarabran,4026,3955,7981,567,52.4,1.2,1.1,7.4,5.9,20.9,15.8,2869,237,3106,7.6,47.5,42.6,9.9,6543,245
Coonamble,2103,2072,4175,646,51.8,0.9,0.6,6.8,5.2,17.3,20.9,1527,143,1670,8.6,51.3,32.7,16.2,3257,200
Cooranbong,7893,8175,16068,705,59.4,3.1,1.3,9.5,8.7,24.7,12.0,5661,449,6110,7.3,48.5,45.8,5.7,12598,420
Cootamundra,3807,3880,7687,627,52.7,1.1,1.0,7.0,7.6,23.1,13.0,2806,184,2990,6.2,47.7,45.3,7.0,6270,280
Copacabana,3929,3804,7733,1043,68.8,4.8,2.7,18.8,12.5,22.2,7.7,3630,213,3843,5.5,67.0,28.7,4.5,5738,600
Coramba,2001,2014,4015,752,64.2,2.5,1.8,10.2,9.6,27.7,12.3,1735,116,1851,6.3,60.4,31.5,8.4,3065,0
Corowa,2683,2803,5486,680,53.6,1.0,1.0,6.6,6.7,24.3,14.1,2211,138,2349,5.9,51.3,40.7,8.1,4583,280
Corrimal,7752,8246,15998,748,57.8,3.2,1.5,11.0,9.2,24.0,8.8,6596,520,7116,7.3,56.0,39.3,4.8,12718,490
Cowan,6091,6002,12093,1150,68.6,6.9,2.8,19.8,11.7,21.1,6.3,6169,243,6412,3.8,70.1,26.8,3.0,9142,0
Cowra,4553,4771,9324,623,50.2,0.9,1.0,6.6,5.9,22.4,13.3,3383,264,3647,7.2,48.5,43.3,8.3,7519,270
Cranebrook,13392,13797,27189,1047,56.2,3.2,1.1,10.5,9.2,24.4,7.9,12193,588,12781,4.6,70.5,24.2,5.3,18124,430
Cremorne,9711,10929,20640,1727,79.9,13.9,3.7,33.9,10.7,8.2,9.5,10848,423,11271,3.8,70.3,22.9,6.8,16032,1050
Cringila,7251,7405,14656,625,47.9,1.3,0.6,5.9,7.1,22.4,10.6,5007,519,5526,9.4,49.7,44.6,5.7,11108,385
Cromer,3882,4093,7975,1079,64.5,4.1,1.7,16.0,12.8,21.3,8.5,3684,112,3796,3.0,64.1,31.4,4.5,5921,900
Cronulla,12675,12674,25349,1210,69.2,5.1,2.2,16.9,12.1,22.4,10.6,12938,447,13385,3.3,66.7,26.0,7.3,20062,863
Crows Nest,9384,10170,19554,1733,81.6,16.0,3.8,35.4,9.9,7.5,9.1,11144,395,11539,3.4,73.6,19.7,6.7,15682,950
Croydon,13209,13850,27059,875,61.4,11.1,1.7,24.0,8.5,7.9,8.2,11332,1070,12402,8.6,57.3,37.4,5.3,21644,650
Croydon Park,8783,9474,18257,937,60.2,7.0,1.9,19.7,9.2,14.2,8.3,8300,454,8754,5.2,61.4,34.0,4.6,14259,575
Culburra Beach,2613,2507,5120,625,56.6,1.6,1.7,6.9,7.5,26.0,13.2,1730,139,1869,7.4,43.3,48.6,8.1,4316,340
Currans Hill,15680,16215,31895,1091,57.1,2.8,1.3,11.1,10.7,25.3,5.8,15309,710,16019,4.4,75.2,21.4,3.4,21313,440
Currarong,1871,1860,3731,608,60.1,2.1,1.3,8.7,8.8,26.7,12.2,1261,98,1359,7.2,43.8,48.9,7.0,3104,0
Daceyville,6023,6179,12202,817,59.1,6.4,1.2,15.5,8.6,15.1,12.2,5061,325,5386,6.0,57.4,34.5,8.1,9379,0
Dapto,11960,12563,24523,730,53.2,1.5,1.1,6.7,7.8,27.5,8.6,9656,801,10457,7.7,54.9,40.7,4.4,19047,450
Darlinghurst,7242,5486,12728,1686,82.0,13.4,2.7,32.5,8.2,6.8,18.4,7118,341,7459,4.6,69.2,14.6,16.2,10778,850
Darlington,13934,14421,28355,1335,72.4,12.8,3.1,31.5,7.0,7.3,10.7,14582,948,15530,6.1,68.4,22.5,9.1,22709,0
Davistown,3546,3761,7307,868,63.1,2.5,1.7,12.2,11.1,27.4,8.4,3185,158,3343,4.7,59.4,35.8,4.7,5626,490
Dean Park,4356,4380,8736,906,55.4,4.1,0.9,14.3,9.4,18.9,7.8,3909,296,4205,7.0,67.0,29.3,3.8,6276,365
Dee Why,13410,13788,27198,1143,68.7,6.2,2.1,21.6,11.8,17.5,9.5,14062,522,14584,3.6,70.8,22.8,6.4,20591,795
Denham Court,11580,11498,23078,857,58.5,5.6,1.2,14.9,8.7,18.3,9.7,9049,734,9783,7.5,61.7,31.9,6.4,15867,550
Deniliquin,3713,3871,7584,710,54.1,1.3,1.1,7.2,6.5,22.1,15.7,3092,185,3277,5.6,53.2,37.1,9.8,6160,270
Denistone,13257,13749,27006,992,66.2,13.2,2.2,26.0,9.2,9.2,6.4,11622,858,12480,6.9,59.6,36.7,3.7,20931,685
Deua,13,12,25,450,64.0,0.0,0.0,24.0,12.0,12.0,28.0,11,0,11,0.0,44.0,36.0,28.0,25,0
Dolans Bay,1627,1653,3280,1555,68.2,6.6,2.1,21.2,12.9,20.0,5.1,1683,38,1721,2.2,68.4,28.9,2.9,2516,0
Doonside,12312,12391,24703,873,56.6,5.7,1.1,18.8,8.4,14.5,8.0,10249,858,11107,7.7,62.3,33.5,4.3,17831,380
Dorrigo,1615,1603,3218,555,55.2,1.7,1.8,9.4,7.0,22.5,13.2,1184,106,1290,8.2,47.3,43.6,8.9,2726,320
Double Bay,12756,14242,26998,1853,76.3,12.7,2.6,32.4,8.6,6.7,13.3,12832,433,13265,3.3,62.3,27.5,10.2,21296,1500
Douglas Park,5559,5352,10911,1122,62.8,2.7,1.6,11.1,10.7,28.2,8.3,4961,143,5104,2.8,69.1,26.4,4.5,7391,0
Dover Heights,5669,6014,11683,1483,73.9,10.0,2.3,30.8,10.7,9.9,10.1,5507,233,5740,4.1,66.4,27.4,6.2,8646,1450
Drummoyne,9294,10215,19509,1474,70.8,9.6,3.0,25.2,10.0,12.6,10.3,9554,344,9898,3.5,65.4,27.7,6.9,15145,750
Dubbo,6143,6653,12797,822,57.2,2.3,1.5,10.7,7.3,23.9,11.5,5548,334,5883,5.9,61.7,30.8,7.4,9480,350
Dudley,12128,12680,24808,875,61.5,3.5,1.8,15.0,9.4,24.3,7.7,11064,703,11767,6.0,60.7,34.9,4.4,19379,478
Duffys Forest,1914,1902,3816,1258,65.8,6.0,2.3,19.0,11.2,18.3,8.9,1795,66,1861,3.5,63.5,31.0,5.3,2931,0
Dulwich Hill,8909,9542,18451,1226,69.8,10.2,3.8,24.5,9.2,11.9,10.2,9209,485,9694,5.0,68.0,24.3,7.7,14257,700
Dundas Valley,9533,9703,19236,878,63.1,8.5,1.7,21.2,9.8,13.5,8.4,8010,589,8599,6.8,59.6,35.2,5.1,14423,495
Dungog,4695,4651,9346,753,58.7,1.9,1.3,8.9,9.1,25.8,12.0,3885,227,4112,5.5,56.2,36.2,7.7,7315,325
Dural,11119,11127,22246,1143,63.3,5.0,1.8,17.0,10.6,20.3,8.7,10568,353,10921,3.2,64.1,30.8,5.0,17031,655
Eagle Vale,10394,10623,21017,876,51.4,1.9,0.8,8.0,8.6,23.0,9.0,9479,690,10169,6.8,64.1,30.4,5.5,15863,400
Earlwood,12638,12839,25477,958,56.7,5.2,1.5,16.2,9.4,15.1,9.1,10682,546,11228,4.9,58.1,36.1,5.8,19318,670
East Ryde,6533,6653,13186,1114,64.9,9.8,2.1,23.6,9.5,13.5,6.5,5894,314,6208,5.1,61.7,34.9,3.4,10062,0
Eastlakes,14295,13704,27999,916,60.6,8.3,1.3,20.6,8.8,12.4,9.1,12241,803,13044,6.2,63.0,31.0,6.0,20715,690
Eastwood,13257,13749,27006,992,66.2,13.2,2.2,26.0,9.2,9.2,6.4,11622,858,12480,6.9,59.6,36.7,3.7,20931,650
Ebenezer,11480,11167,22647,1052,62.7,2.8,1.7,10.6,10.4,27.9,9.2,11418,410,11828,3.5,67.7,26.1,6.2,17471,483
Eden,1606,1658,3264,596,53.8,1.4,1.0,6.5,6.5,21.6,16.6,1152,86,1238,6.9,45.6,45.3,9.1,2715,400
Edensor Park,5092,5229,10321,773,43.6,1.8,0.4,11.4,8.6,15.5,5.9,4173,362,4535,8.0,56.6,39.9,3.4,8008,480
Edgeworth,7408,7850,15258,886,55.9,2.0,1.0,8.8,8.2,27.9,8.0,6708,388,7096,5.5,65.3,29.9,4.8,10864,410
Edmondson Park,10158,10393,20551,958,55.6,4.3,1.0,14.8,10.6,16.9,8.1,7990,533,8523,6.3,65.3,30.4,4.3,13051,570
Elanora Heights,5587,5731,11318,1197,69.2,6.5,2.2,19.9,12.4,17.3,11.0,5019,165,5184,3.2,58.9,34.8,6.3,8797,735
Elderslie,11847,12224,24071,1096,58.6,3.0,1.6,12.1,10.7,24.1,7.1,10782,486,11268,4.3,71.2,24.9,3.9,15836,490
Eleebana,6109,6213,12322,1022,66.1,4.9,2.3,17.7,11.4,23.3,6.5,5628,326,5954,5.5,61.1,35.7,3.3,9750,500
Elermore Vale,9618,10596,20214,753,57.8,3.5,1.2,12.0,8.3,23.0,9.8,8234,740,8974,8.2,55.2,39.3,5.6,16270,440
Ellis Lane,6488,6954,13442,1040,62.5,3.3,1.9,12.6,10.1,24.5,10.1,6258,212,6470,3.3,62.4,32.5,5.1,10375,0
Emerald Beach,4718,4899,9617,881,67.2,3.5,2.2,15.9,11.4,25.4,9.0,4013,231,4244,5.4,61.1,33.2,5.6,6945,463
Emerton,9236,9732,18968,597,41.8,1.1,0.3,4.9,5.3,16.8,13.2,5760,872,6632,13.1,48.1,42.9,9.0,13786,315
Emu Plains,7039,7514,14553,1031,58.7,3.6,1.7,10.8,9.7,23.9,9.0,6987,305,7292,4.2,64.0,32.4,3.6,11401,460
Enfield,8783,9474,18257,937,60.2,7.0,1.9,19.7,9.2,14.2,8.3,8300,454,8754,5.2,61.4,34.0,4.6,14259,580
Engadine,8702,8782,17484,1062,63.9,3.5,1.9,13.5,11.7,27.1,6.3,8474,261,8735,3.0,67.2,30.3,2.5,12998,620
Epping,15268,15219,30487,1133,70.5,15.6,2.8,29.0,9.0,8.2,5.8,13075,961,14036,6.8,62.8,34.5,2.8,22364,650
Erina,6701,7683,14384,808,60.1,3.6,1.7,13.2,10.1,19.8,11.7,5625,311,5936,5.2,50.9,43.1,6.1,11672,520
Ermington,11815,11676,23491,902,59.1,6.5,1.4,17.6,9.8,15.8,8.0,9743,642,10385,6.2,60.4,34.8,4.9,17191,520
Erowal Bay,7203,7517,14720,582,53.7,1.0,1.0,5.0,7.7,27.0,11.9,4491,436,4927,8.8,42.3,50.7,7.0,11657,370
Erskine Park,3312,3342,6654,1082,53.6,2.4,0.8,10.5,8.5,25.1,6.4,3669,185,3854,4.8,74.2,22.0,3.7,5195,393
Erskineville,9537,8982,18519,1745,79.8,14.1,3.6,33.2,9.3,9.4,10.2,11056,400,11456,3.5,79.1,12.4,8.5,14483,730
Evans Head,2716,2693,5409,627,55.6,1.5,1.0,7.5,6.9,25.0,13.8,1944,151,2095,7.2,47.8,43.0,9.2,4381,478
Fairfield,9335,9390,18726,567,40.6,1.8,0.5,8.6,7.1,12.6,10.0,5454,746,6201,12.1,44.4,49.7,5.9,13930,440
Fairlight,11926,12280,24206,1731,78.3,12.3,2.9,31.9,10.1,9.4,11.6,12282,472,12754,3.7,68.5,23.1,8.4,18617,1213
Fairy Meadow,10985,11298,22283,790,60.5,5.7,1.9,14.6,9.3,20.7,8.3,9030,708,9738,7.3,55.2,40.2,4.6,17636,525
Figtree,11181,11207,22388,873,63.1,7.3,2.4,17.2,9.5,20.0,6.7,9260,735,9995,7.4,58.4,37.9,3.8,17126,500
Fingal Head,7191,7511,14702,783,62.5,3.1,2.0,13.6,10.0,21.1,12.7,5476,358,5834,6.1,54.4,37.0,8.7,10732,0
Finley,5073,4962,10035,662,53.4,0.8,0.9,7.2,6.6,21.9,16.1,3827,188,4015,4.7,49.9,39.7,10.4,8040,0
Fitzroy Falls,1847,1839,3686,918,69.4,5.5,2.0,15.5,10.7,24.2,11.6,1617,52,1669,3.1,58.6,32.9,8.5,2850,0
Five Dock,10527,11360,21887,1273,67.2,8.3,2.6,22.2,10.1,13.9,10.1,10386,442,10828,4.1,64.0,29.6,6.4,16929,755
Fletcher,7509,7610,15119,957,57.5,3.5,1.4,11.5,8.9,26.5,5.7,6696,444,7140,6.2,69.5,27.6,2.9,10280,523
Flinders,9291,9319,18610,958,60.8,2.9,1.5,11.6,10.5,26.3,8.0,8041,472,8513,5.5,65.4,30.0,4.6,13018,550
Forbes,5300,5169,10469,690,53.1,1.2,1.0,7.6,6.7,22.4,14.3,4176,244,4420,5.5,54.3,36.7,9.0,8135,280
Forest Lodge,10759,11699,22458,1283,75.0,14.9,2.9,29.8,7.7,7.2,12.6,10673,716,11389,6.3,63.7,25.9,10.3,17872,900
Forestville,6539,6901,13440,1204,66.1,9.0,2.7,23.9,10.9,13.2,6.5,5887,234,6121,3.8,62.2,34.8,3.0,9843,850
Forresters Beach,5133,5190,10323,1020,66.5,4.0,2.3,17.0,11.7,23.2,8.3,4678,198,4876,4.1,63.7,31.6,4.8,7656,510
Forster,5155,5440,10595,595,58.2,1.8,1.1,7.8,8.2,26.4,12.9,3297,298,3595,8.4,42.2,50.1,7.6,8653,430
Fountaindale,2541,2482,5023,947,62.0,3.4,1.6,14.2,11.1,24.2,7.5,2467,133,2600,5.1,66.8,29.7,3.7,3891,0
Frenchs Forest,13019,13356,26375,1248,66.6,6.8,2.3,21.4,12.5,16.3,7.3,12145,493,12638,3.9,64.1,32.2,3.6,19702,875
Freshwater,11526,11550,23076,1423,72.4,8.3,2.5,25.8,11.5,15.3,8.9,11778,384,12162,3.2,72.0,21.8,6.2,16881,1350
Fullerton Cove,4180,4116,8296,769,62.6,2.7,1.3,9.9,7.9,24.2,16.8,2729,193,2922,6.6,45.4,41.8,12.8,6442,0
Galston,2723,2637,5360,1098,66.2,5.4,2.1,16.8,11.9,21.9,8.1,2552,94,2646,3.6,62.4,33.0,4.6,4237,650
Georges Hall,11756,11808,23564,656,47.5,2.4,0.7,9.5,8.1,16.6,10.3,7683,738,8421,8.8,49.8,44.7,5.5,16922,550
Gerringong,4165,4284,8449,940,70.1,4.8,3.1,17.7,11.2,21.0,12.0,3478,119,3597,3.3,55.7,36.1,8.1,6454,555
Gilgandra,2197,2196,4393,637,50.0,1.0,0.6,7.1,5.6,21.6,14.3,1853,114,1967,5.8,55.3,36.1,8.6,3555,260
Girraween,7134,6759,13893,875,60.8,11.5,1.5,18.9,8.4,10.9,9.5,5367,453,5820,7.8,58.4,35.4,6.3,9974,480
Gladesville,7659,7890,15549,1291,69.0,9.2,2.5,24.8,10.8,13.1,8.6,7374,316,7690,4.1,65.0,29.7,5.3,11834,700
Glebe,10759,11699,22458,1283,75.0,14.9,2.9,29.8,7.7,7.2,12.6,10673,716,11389,6.3,63.7,25.9,10.3,17872,850
Glen Alpine,10543,10909,21452,839,52.7,2.2,1.1,8.8,8.5,22.0,10.2,9202,762,9964,7.6,60.9,32.9,6.3,16373,580
Glen Innes,4428,4480,8908,569,54.6,1.2,0.9,6.8,7.1,21.6,17.0,3224,283,3507,8.1,47.9,42.8,9.3,7322,250
Glendale,11829,12255,24084,867,59.5,3.3,1.7,12.7,8.7,25.5,7.7,10899,773,11672,6.6,61.9,34.1,4.0,18851,375
Glendenning,4356,4380,8736,906,55.4,4.1,0.9,14.3,9.4,18.9,7.8,3909,296,4205,7.0,67.0,29.3,3.8,6276,420
Glenfield,12191,12725,24916,774,57.0,6.7,0.9,13.2,8.1,16.7,11.3,9541,986,10527,9.4,57.5,34.7,7.8,18296,475
Glenhaven,3213,3332,6545,1204,65.9,5.7,2.5,21.5,12.7,16.5,7.1,3001,122,3123,3.9,61.0,35.8,3.1,5117,750
Glenmore Park,10717,11098,21815,1136,56.6,3.5,1.4,12.2,10.8,22.7,6.1,11618,476,12094,3.9,74.9,21.6,3.5,16143,490
Glenwood,8407,8498,16905,1182,62.7,9.5,1.6,22.7,10.1,13.7,5.1,8390,542,8932,6.1,72.1,26.0,1.9,12380,600
Gloucester,2566,2599,5165,599,53.7,1.0,1.4,8.1,7.6,23.3,12.2,1815,144,1959,7.4,46.5,46.6,6.8,4217,345
Goonellabah,6296,7115,13411,708,59.0,2.1,1.5,11.9,7.6,24.6,11.3,5474,402,5876,6.8,55.1,37.7,7.2,10658,400
Gordon,11254,11859,23113,1424,71.7,15.4,2.6,31.7,8.2,6.2,7.6,9732,606,10338,5.9,59.5,36.8,3.7,17376,963
Gorokan,11086,11716,22802,663,52.8,0.9,0.7,5.4,6.9,24.9,14.1,8294,820,9114,9.0,50.3,41.6,8.2,18128,350
Gosford,9667,9986,19653,794,62.6,3.7,1.5,14.7,10.0,21.2,11.5,8506,686,9192,7.5,58.6,34.1,7.3,15692,0
Goulburn,11974,11861,23835,755,57.6,1.9,1.3,7.6,8.4,23.3,15.0,9708,708,10416,6.8,55.6,37.0,7.4,18737,360
Grafton,9346,9732,19078,607,53.8,1.1,1.0,7.0,6.5,23.9,14.3,6499,731,7230,10.1,47.6,45.8,6.6,15191,360
Granville,12132,10632,22764,696,52.1,5.6,0.9,14.9,8.9,11.5,10.4,8282,988,9270,10.7,55.6,37.1,7.3,16664,460
Grays Point,8989,9269,18258,1191,66.0,5.3,2.1,17.6,12.0,22.3,6.7,9211,322,9533,3.4,68.1,28.5,3.3,13992,750
Green Point,6701,7683,14384,808,60.1,3.6,1.7,13.2,10.1,19.8,11.7,5625,311,5936,5.2,50.9,43.1,6.1,11672,570
Green Valley,6570,6586,13156,738,43.3,1.5,0.6,10.0,8.1,15.8,7.3,5228,474,5702,8.3,57.7,37.9,4.3,9875,470
Greenacre,13943,14048,27991,598,47.4,3.5,0.8,11.2,7.7,13.9,10.3,8758,842,9600,8.8,48.8,45.0,6.3,19678,550
Greendale,4718,4405,9123,782,48.4,1.1,0.5,6.9,5.9,21.0,13.0,3851,212,4063,5.2,56.0,35.3,8.6,7261,0
Greenfield Park,4433,4376,8809,695,42.0,1.6,0.6,10.4,8.4,14.5,6.5,3133,293,3426,8.6,50.7,45.8,3.5,6758,430
Greenwich,14389,14678,29067,1641,74.5,14.8,3.4,32.0,9.1,8.1,7.1,13706,625,14331,4.4,66.5,29.0,4.5,21558,1100
Grenfell,1837,1796,3633,600,52.5,1.0,0.9,7.7,6.7,21.3,14.8,1439,79,1518,5.2,50.0,41.0,9.3,3038,0
Greta,5526,5491,11017,966,59.7,1.6,1.2,8.8,8.3,29.4,10.4,4775,293,5068,5.8,64.8,28.7,6.6,7824,350
Greystanes,13876,14251,28127,945,56.3,4.2,1.2,14.8,9.3,18.6,8.1,11972,693,12665,5.5,61.5,33.7,4.8,20597,500
Griffith,10053,10198,20251,791,52.5,1.6,1.0,8.4,6.1,20.5,15.1,8499,475,8974,5.3,59.0,30.5,10.6,15205,360
Guildford,11771,11432,23203,564,46.4,3.0,0.6,9.8,7.8,13.1,12.0,6389,809,7198,11.2,45.5,46.1,8.4,15823,450
Guildford West,11211,11125,22336,688,49.5,3.3,0.8,11.0,8.4,15.9,10.1,7886,805,8691,9.3,53.6,40.2,6.2,16206,455
Gundagai,1839,1793,3632,700,50.6,1.0,0.7,7.4,6.0,21.6,13.8,1582,73,1655,4.4,57.6,34.2,8.2,2873,290
Gunnedah,4750,4822,9572,784,53.1,1.4,1.1,7.7,6.1,23.9,12.7,3888,245,4133,5.9,57.1,35.2,7.8,7241,350
Gwandalan,3068,3004,6072,718,53.7,1.1,0.8,5.8,7.3,30.7,8.0,2346,203,2549,8.0,53.9,42.0,4.1,4728,400
Gymea,8989,9269,18258,1191,66.0,5.3,2.1,17.6,12.0,22.3,6.7,9211,322,9533,3.4,68.1,28.5,3.3,13992,640
Haberfield,7084,7235,14319,1257,68.4,11.3,2.9,25.7,9.0,11.0,8.5,7079,307,7386,4.2,66.0,28.4,5.5,11185,800
Halekulani,4836,4899,9735,649,54.3,1.0,0.8,5.8,7.8,28.0,11.0,3585,344,3929,8.8,50.5,43.3,6.2,7779,410
Hamilton,6269,6179,12448,878,64.0,5.8,2.6,19.6,8.6,17.8,9.6,5674,465,6139,7.6,61.2,32.3,6.5,10034,485
Harrington Park,11847,12224,24071,1096,58.6,3.0,1.6,12.1,10.7,24.1,7.1,10782,486,11268,4.3,71.2,24.9,3.9,15836,550
Hassall Grove,10839,11093,21932,903,53.2,3.2,0.8,14.8,8.9,18.1,7.5,9784,750,10534,7.1,66.3,29.2,4.5,15899,400
Hawks Nest,2661,2626,5287,630,59.1,2.0,1.4,8.6,9.7,25.9,11.6,1412,130,1542,8.4,33.9,60.3,5.8,4555,340
Hay,1511,1493,3004,697,49.2,0.7,0.7,6.0,6.3,18.9,16.7,1310,62,1372,4.5,55.9,31.5,12.6,2453,205
Haymarket,16090,15592,31682,1146,73.6,10.8,1.2,27.8,10.9,4.9,17.9,15124,1046,16170,6.5,61.8,23.6,14.6,26159,0
Hazelbrook,5636,5942,11578,888,68.1,6.1,3.4,16.7,12.0,23.0,7.0,5346,279,5625,5.0,62.4,33.4,4.1,9011,425
Heathcote,3274,3435,6709,1015,62.9,3.6,1.9,12.0,10.7,27.1,7.6,3212,130,3342,3.9,63.8,33.9,2.3,5238,600
Hebersham,9236,9732,18968,597,41.8,1.1,0.3,4.9,5.3,16.8,13.2,5760,872,6632,13.1,48.1,42.9,9.0,13786,340
Helensburgh,4691,4546,9237,1139,67.7,5.2,2.4,15.2,10.9,24.7,9.4,4636,176,4812,3.7,70.0,25.8,4.2,6871,580
Hexham,4178,4315,8493,654,45.6,0.8,0.5,4.3,5.6,24.7,9.8,3185,404,3589,11.3,52.7,41.6,5.7,6810,0
Hill Top,3187,3187,6374,851,57.3,1.7,1.4,7.3,8.9,29.5,8.6,2906,131,3037,4.3,65.0,29.8,5.2,4674,450
Hillsborough,11829,12255,24084,867,59.5,3.3,1.7,12.7,8.7,25.5,7.7,10899,773,11672,6.6,61.9,34.1,4.0,18851,0
Hillsdale,6023,6179,12202,817,59.1,6.4,1.2,15.5,8.6,15.1,12.2,5061,325,5386,6.0,57.4,34.5,8.1,9379,0
Hinchinbrook,6751,6746,13497,874,49.3,2.3,0.7,11.5,9.7,18.1,6.9,5552,453,6005,7.5,63.2,33.1,3.7,9501,480
Holroyd,16136,15137,31273,736,52.7,5.0,1.0,14.3,9.2,14.3,9.0,11434,1165,12599,9.2,56.1,38.5,5.3,22441,0
Holsworthy,11004,10780,21784,1109,61.8,5.6,1.5,16.8,10.7,20.4,6.9,10792,477,11269,4.2,70.4,25.2,4.4,16013,500
Homebush,9848,8759,18607,969,68.4,13.2,1.6,25.4,8.6,7.6,12.1,8150,707,8857,8.0,64.5,26.0,9.5,13725,620
Horningsea Park,6366,6634,13000,916,52.6,3.2,0.7,13.2,10.2,18.1,7.1,5359,307,5666,5.4,65.9,30.0,4.1,8596,530
Hornsby,5963,6119,12082,1032,70.5,12.3,2.7,25.8,10.5,11.6,7.6,5674,367,6041,6.0,65.9,29.6,4.4,9143,590
Horsley,4726,5007,9733,968,60.1,2.7,1.4,9.6,10.8,28.5,7.0,4273,208,4481,4.6,68.1,29.6,2.4,6584,490
Horsley Park,2417,2270,4687,966,52.8,2.0,0.5,8.6,6.8,21.7,13.4,2052,79,2131,3.7,58.1,32.7,9.0,3665,400
Hoxton Park,6366,6634,13000,916,52.6,3.2,0.7,13.2,10.2,18.1,7.1,5359,307,5666,5.4,65.9,30.0,4.1,8596,500
Hunters Hill,5560,5427,10987,1625,68.8,11.3,2.7,25.3,8.9,9.2,11.4,4456,148,4604,3.2,55.3,39.5,5.3,8327,1000
Huntleys Point,7659,7890,15549,1291,69.0,9.2,2.5,24.8,10.8,13.1,8.6,7374,316,7690,4.1,65.0,29.7,5.3,11834,0
Hurstville,13133,13166,26299,752,58.4,10.9,1.1,21.2,8.6,8.3,8.3,10503,1068,11571,9.2,57.5,37.6,4.9,20135,580
Hurstville Grove,6631,6670,13301,1165,65.7,8.6,2.4,23.3,10.0,15.0,6.6,6250,314,6564,4.8,63.2,33.4,3.4,10390,645
Huskisson,2162,2369,4531,788,66.7,5.5,2.9,13.7,10.2,23.3,11.3,1675,89,1764,5.0,48.4,45.0,6.6,3644,420
Illawong,5281,5412,10693,1274,63.2,5.1,1.9,18.8,11.1,21.0,5.2,5791,219,6010,3.6,69.5,28.4,2.1,8650,775
Iluka,8213,8417,16630,587,57.1,1.6,1.4,8.5,7.7,24.8,13.2,5308,439,5747,7.6,40.9,51.8,7.3,14045,400
Ingleburn,11580,11498,23078,857,58.5,5.6,1.2,14.9,8.7,18.3,9.7,9049,734,9783,7.5,61.7,31.9,6.4,15867,415
Inverell,5722,6172,11894,644,51.9,0.8,1.0,7.7,6.1,23.8,12.5,4536,371,4907,7.6,52.8,40.3,7.0,9286,310
Jamisontown,8738,8986,17724,911,54.4,2.5,1.1,8.9,8.4,24.7,8.8,8154,473,8627,5.5,62.9,31.6,5.5,13711,435
Jannali,10895,11218,22113,1215,67.2,6.3,2.6,19.4,12.4,19.8,6.6,10709,392,11101,3.5,67.0,29.7,3.3,16559,580
Jerilderie,5073,4962,10035,662,53.4,0.8,0.9,7.2,6.6,21.9,16.1,3827,188,4015,4.7,49.9,39.7,10.4,8040,0
Jerrabomberra,6510,6640,13150,1428,62.7,7.6,3.4,15.2,11.2,19.0,6.3,7125,254,7379,3.4,75.9,19.9,4.2,9725,640
Jesmond,6522,6244,12766,614,47.7,4.5,0.8,10.6,6.0,17.0,8.8,4213,796,5009,15.9,50.3,43.8,5.9,9956,390
Jilliby,1807,1723,3530,1016,63.6,3.1,1.6,11.9,10.5,23.9,12.6,1644,58,1702,3.4,62.5,28.7,8.7,2722,600
Jindabyne,3906,3267,7173,906,68.4,3.1,1.7,12.7,9.8,28.2,12.6,3899,73,3972,1.8,69.6,21.2,9.2,5709,0
Junee,3782,2767,6549,699,62.0,0.9,0.7,6.2,5.3,20.2,28.6,2290,116,2406,4.8,46.8,44.9,8.3,5139,270
